numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
250,250,1,0.05,compare_to_percentile,rolling deploy,1300,19560,5.54,0.96,0.0239,0
250,250,1,0.05,all_rebid,10% start,2500,67851,8.99,1.10,0.0036,0
250,250,1,0.05,all_rebid,cold start,15750,430218,55.07,1.09,0.0189,0
250,250,1,0.05,all_rebid,rolling deploy,1300,35181,5.35,0.93,0.0124,0
250,250,1,0.10,compare_to_percentile,10% start,2500,68067,8.81,0.92,0.0030,0
250,250,1,0.10,compare_to_percentile,cold start,15750,432324,54.81,0.94,0.0161,0
250,250,1,0.10,compare_to_percentile,rolling deploy,1300,35208,5.29,0.92,0.0093,0
250,250,1,0.10,all_rebid,10% start,2500,128571,8.93,0.95,0.0019,0
250,250,1,0.10,all_rebid,cold start,15750,819519,55.27,1.11,0.0173,0
250,250,1,0.10,all_rebid,rolling deploy,1300,66453,5.36,0.94,0.0093,0
250,250,1,0.20,compare_to_percentile,10% start,2500,131352,8.82,0.93,0.0038,0
250,250,1,0.20,compare_to_percentile,cold start,15750,842868,54.87,1.09,0.0141,0
250,250,1,0.20,compare_to_percentile,rolling deploy,1300,68380,5.31,1.04,0.0093,0
250,250,1,0.20,all_rebid,10% start,2500,256338,8.97,1.08,0.0020,0
250,250,1,0.20,all_rebid,cold start,15750,1648723,55.44,1.15,0.0156,0
250,250,1,0.20,all_rebid,rolling deploy,1300,131906,5.33,0.95,0.0093,0
250,250,2,0.05,compare_to_percentile,10% start,2500,37890,4.46,0.96,0.0042,0
250,250,2,0.05,compare_to_percentile,cold start,15750,240345,27.71,1.05,0.0186,0
250,250,2,0.05,compare_to_percentile,rolling deploy,1300,19560,2.68,1.09,0.0190,0
250,250,2,0.05,all_rebid,10% start,2500,68445,4.47,0.93,0.0038,0
250,250,2,0.05,all_rebid,cold start,15750,432729,27.79,1.06,0.0195,0
250,250,2,0.05,all_rebid,rolling deploy,1300,35235,2.71,0.98,0.0212,0
250,250,2,0.10,compare_to_percentile,10% start,2500,69309,4.51,0.94,0.0026,0
250,250,2,0.10,compare_to_percentile,cold start,15750,438398,27.75,1.02,0.0182,0
250,250,2,0.10,compare_to_percentile,rolling deploy,1300,35370,2.70,0.93,0.0093,0
250,250,2,0.10,all_rebid,10% start,2500,129387,4.53,1.10,0.0031,0
250,250,2,0.10,all_rebid,cold start,15750,854450,28.39,1.34,0.0183,0
250,250,2,0.10,all_rebid,rolling deploy,1300,66657,2.77,0.95,0.0093,0
250,250,2,0.20,compare_to_percentile,10% start,2500,134420,4.54,0.96,0.0024,0
250,250,2,0.20,compare_to_percentile,cold start,15750,875732,27.83,1.10,0.0180,0
250,250,2,0.20,compare_to_percentile,rolling deploy,1300,69056,2.72,0.96,0.0093,0
250,250,2,0.20,all_rebid,10% start,2500,259873,4.67,1.11,0.0029,0
